CASE,Y_proclSpeed_r,Y_proclDui_r,Y_proclRob_r,Y_proclKill_r,Y_proclProstitute_r,Y_proclRape_r,Y_proclZoo_r,Y_proclPublic_r,Y_proclPornChild_r,Y_proclPornChildDarknet_r,Y_proclChatChild_r,Y_proclGiftChild_r,Y_proclSexChild_r,Y_proclPornYp_r,Y_proclChatYp_r,Y_proclGiftYp_r,Y_proclSexYp_r
2154,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2156,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0
2167,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2170,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2179,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2192,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2193,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2197,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2203,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2204,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2205,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2211,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2213,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2217,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2218,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2223,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1
2227,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2230,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2231,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2233,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2242,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2247,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2255,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
