CASE,sexdrive2,meffort,socialanx,lon,mvalue,attr,CSBD,PPCS_6
10048,1,2,2,3,4,0,2,2
10049,3,2,2,1,1,0,1,1
10057,4,1,1,3,3,0,2,1
10062,3,3,1,1,3,0,1,1
10075,4,3,1,1,2,0,2,1
10083,1,2,3,3,1,0,1,2
10085,3,3,1,1,1,0,2,1
10090,2,4,3,1,4,0,2,2
10113,1,1,4,4,1,0,1,2
10115,1,3,2,4,1,0,2,1
10127,1,1,1,3,1,0,1,1
10129,3,2,3,3,4,0,2,2
10137,2,2,1,3,2,0,1,2
10140,1,3,2,1,1,0,1,1
10162,2,2,3,3,2,0,2,2
10170,1,3,1,1,1,0,2,2
10181,3,3,1,1,1,0,1,1
10187,3,1,4,3,2,0,2,1
10210,3,1,3,3,1,0,1,1
10221,2,2,3,1,3,0,1,2
10228,1,2,2,3,3,0,2,1
10229,4,4,1,1,4,0,2,2
10234,2,1,3,2,4,0,1,1
10242,1,2,4,4,1,0,1,1
10244,1,2,3,4,1,0,2,2
10245,1,4,3,2,2,0,1,1
10276,2,2,1,1,1,0,1,1
10282,1,4,4,4,1,0,2,1
10287,1,2,4,3,2,0,1,1
10323,2,2,4,4,1,0,2,2
10324,3,2,1,2,3,0,2,1
10329,3,3,2,3,4,0,2,2
10333,1,1,3,2,2,0,1,2
10334,3,1,1,1,2,0,1,1
10347,4,3,4,4,3,0,2,1
10351,1,3,3,3,1,0,1,1
10358,3,4,2,4,3,0,2,2
10360,2,2,3,1,1,0,1,1
10363,1,3,3,3,2,0,2,1
10371,4,3,1,1,4,0,2,2
10375,2,4,1,1,4,0,1,2
10384,2,1,4,4,2,0,2,1
10397,4,3,3,1,4,0,2,1
10410,3,1,4,4,2,0,2,1
10412,1,1,1,3,4,0,1,1
10413,3,3,1,1,2,0,2,2
10437,1,1,3,4,2,0,1,1
10438,1,1,2,3,1,0,2,1
10444,4,4,3,3,3,0,2,1
10451,3,4,1,1,3,0,1,2
10461,1,3,2,1,4,0,1,1
10466,1,2,2,3,1,0,2,1
10470,1,3,3,3,2,0,1,1
10472,2,4,1,3,2,0,2,2
10473,2,2,4,4,2,0,2,1
10491,2,3,3,1,2,0,2,2
10495,3,3,1,1,4,0,1,2
10506,1,3,3,3,4,0,1,1
10508,1,1,4,4,1,0,1,1
10511,3,4,1,1,4,0,2,2
10518,1,1,1,1,1,0,1,1
10523,1,3,1,1,2,0,1,1
10527,4,1,1,2,4,0,2,2
10528,2,1,1,2,2,0,1,1
10530,1,2,3,4,2,0,2,1
10541,3,3,3,1,4,0,2,1
10555,1,1,3,2,3,0,1,1
10561,1,1,4,4,1,0,1,1
10563,1,2,3,4,4,0,2,2
